object_name,sector,level,service_scale,process_criticality,num_users,num_territories,predicted_financial_damage,recovery_time_hours,critical_processes_count,integrations_count,personal_data_subjects,affected_employees,continuous_operation,uses_automated_control_system,provides_gov_services,life_health_impact,ecological_impact,defense_impact,public_order_impact,transport_impact,communication_impact,sensitive_info,category_level
Сеть управления #12,Здравоохранение,Муниципальный,Вся страна,Средняя,11719,57,12276838,72.0,4,14,10073,1022,False,False,False,True,False,False,False,False,False,False,2
Сеть аналитики #13,Энергетика,Муниципальный,Вся страна,Высокая,48676,68,604415940,24.0,6,9,70741,2704,True,True,False,False,True,False,False,False,False,False,2
Платформа мониторинга #14,Топливная промышленность,Региональный,Федеральный округ,Низкая,44604,27,341239,168.0,5,23,20331,848,False,True,False,False,True,False,True,False,False,False,1
ИС мониторинга #15,Связь,Региональный,Один город,Критическая,15746,4,154597537,4.0,12,11,21119,123,True,False,False,True,False,False,False,False,True,False,3
Портал мониторинга #16,Оборонная промышленность,Региональный,Федеральный округ,Низкая,122485,14,143238,24.0,7,19,177768,1357,True,False,False,False,False,True,False,False,False,True,3
АСУ ТП обработки #17,Государственное управление,Региональный,Федеральный округ,Низкая,308857,18,112594,48.0,9,12,268371,2358,False,False,True,False,False,False,True,False,False,True,2
Платформа передачи #18,Связь,Объектовый,Вся страна,Высокая,483,79,24643066,8.0,2,7,362,691,True,True,False,False,False,False,False,True,True,False,1
Платформа мониторинга #19,Энергетика,Муниципальный,Один город,Высокая,6081,3,381130987,24.0,7,16,4509,1111,True,True,False,False,True,False,False,False,False,False,2
Система хранения #20,Транспорт,Федеральный,Федеральный округ,Средняя,194300,17,740159,24.0,9,26,51573,3035,False,True,False,True,False,False,True,True,False,False,3
АСУ ТП передачи #21,Банковская сфера,Объектовый,Субъект РФ,Низкая,1368,2,266236,72.0,1,8,1581,105,False,False,False,False,False,False,False,False,True,False,0
Система управления #22,Государственное управление,Объектовый,Несколько муниципалитетов,Средняя,2124,1,1929127,24.0,1,2,2212,846,False,True,True,False,False,True,True,False,False,True,2
Платформа хранения #23,Транспорт,Объектовый,Вся страна,Средняя,2072,87,4386138,48.0,2,6,632,516,True,True,False,True,False,False,True,True,False,False,2
АСУ ТП управления #24,Здравоохранение,Региональный,Несколько муниципалитетов,Критическая,277198,2,46244136,2.0,11,14,70873,1477,True,True,False,True,True,False,True,False,False,False,3
АСУ ТП обработки #25,Топливная промышленность,Региональный,Вся страна,Критическая,175877,55,3816632,4.0,10,16,35758,1697,True,True,False,True,True,False,False,False,False,False,3
Сеть аналитики #26,Оборонная промышленность,Региональный,Вся страна,Низкая,404088,65,164817,168.0,6,13,230299,494,False,False,False,False,True,False,False,False,False,True,2
АСУ ТП хранения #27,Здравоохранение,Муниципальный,Один город,Высокая,6366,2,9062451,24.0,9,10,2105,803,True,False,False,True,False,False,False,False,False,False,1
Платформа обработки #28,Энергетика,Объектовый,Федеральный округ,Критическая,589,25,311135074,2.0,3,5,883,1571,True,True,False,False,True,False,False,False,False,False,2
Портал управления #29,Энергетика,Объектовый,Один город,Высокая,3346,4,6575286,24.0,4,4,2565,989,True,True,False,False,True,False,False,False,True,False,1
Платформа управления #30,Энергетика,Федеральный,Один город,Средняя,980843,3,1960600,72.0,16,5,636706,1721,False,True,False,False,True,False,False,False,False,False,2
Сервис мониторинга #31,Связь,Муниципальный,Один город,Высокая,73604,2,79563149,8.0,5,14,32106,164,True,True,False,False,False,False,True,False,True,False,1
Система управления #32,Связь,Объектовый,Субъект РФ,Средняя,688,3,579873,72.0,2,7,403,44,False,False,False,False,False,False,True,False,True,False,0
Платформа управления #33,Топливная промышленность,Региональный,Субъект РФ,Низкая,41885,4,300789,24.0,11,15,58373,678,False,True,False,False,True,False,False,True,False,False,1
Платформа обработки #34,Государственное управление,Муниципальный,Несколько муниципалитетов,Высокая,27582,3,105419054,12.0,4,6,17326,70,True,False,True,False,True,True,True,False,False,True,3
АСУ ТП передачи #35,Связь,Муниципальный,Федеральный округ,Критическая,33719,11,1496980394,4.0,8,8,20511,1371,True,False,False,False,False,False,False,False,True,False,2
Портал аналитики #36,Государственное управление,Региональный,Субъект РФ,Критическая,292049,8,24092160,2.0,11,15,31371,4219,True,True,True,True,False,True,True,False,False,True,3
Система хранения #37,Оборонная промышленность,Объектовый,Несколько муниципалитетов,Средняя,1674,1,29990055,48.0,3,6,529,479,False,False,False,False,False,True,False,False,False,True,1
Сервис хранения #38,Топливная промышленность,Объектовый,Субъект РФ,Средняя,2025,3,445154,48.0,2,8,2847,1509,True,True,False,False,True,False,False,False,True,False,0
Сеть обработки #39,Топливная промышленность,Объектовый,Несколько муниципалитетов,Высокая,667,1,174965541,8.0,1,6,433,960,True,True,False,False,True,False,False,False,False,False,1
Сервис управления #40,Топливная промышленность,Региональный,Федеральный округ,Средняя,355662,28,2210593,72.0,4,21,104913,2755,False,True,False,False,True,False,False,False,False,False,2
АСУ ТП хранения #41,Банковская сфера,Объектовый,Вся страна,Критическая,1892,59,770957846,1.0,2,7,586,219,True,False,False,True,False,False,False,False,False,True,3
ИС аналитики #42,Оборонная промышленность,Региональный,Федеральный округ,Низкая,65729,22,104335,168.0,16,15,8239,3231,True,False,False,False,True,False,False,False,False,True,2
Платформа хранения #43,Наука,Объектовый,Субъект РФ,Средняя,537,5,2016872,72.0,2,10,353,64,False,False,True,False,False,False,False,False,False,True,1
ИС обработки #44,Транспорт,Объектовый,Субъект РФ,Критическая,3600,6,144087166,4.0,1,5,530,298,True,True,False,True,False,False,True,True,False,False,3
ИС хранения #45,Энергетика,Региональный,Несколько муниципалитетов,Средняя,185977,2,71702183,24.0,9,6,226835,1011,False,True,False,False,True,False,False,False,False,False,2
АСУ ТП аналитики #46,Связь,Региональный,Федеральный округ,Средняя,160018,15,329883,72.0,7,12,209063,3852,False,False,False,False,False,False,True,False,True,False,1
ИС хранения #47,Наука,Федеральный,Субъект РФ,Высокая,926847,8,76142616,12.0,11,21,1028001,3757,True,False,False,False,False,False,False,False,False,False,2
Портал мониторинга #48,Государственное управление,Муниципальный,Вся страна,Высокая,3703,68,284840369,24.0,8,13,5091,1313,True,False,True,False,False,True,True,False,False,True,3
Портал аналитики #49,Топливная промышленность,Региональный,Несколько муниципалитетов,Высокая,424703,4,282089240,24.0,8,14,347169,2486,True,True,False,False,True,False,False,False,False,False,2
Портал передачи #50,Транспорт,Региональный,Субъект РФ,Низкая,176321,4,42501,24.0,10,4,178434,2959,True,True,True,True,False,False,True,True,False,True,3
ИС передачи #51,Топливная промышленность,Региональный,Федеральный округ,Низкая,140182,23,114919,168.0,9,13,193692,2390,False,True,False,False,True,False,False,False,False,False,2
АСУ ТП мониторинга #52,Здравоохранение,Муниципальный,Субъект РФ,Средняя,5118,2,13923806,24.0,5,10,1050,1614,False,False,False,True,False,False,False,False,False,False,1
Портал аналитики #53,Транспорт,Федеральный,Один город,Критическая,1461270,1,177699738,0.5,16,21,1931980,3254,True,True,False,True,False,True,True,True,False,False,3
ИС управления #54,Топливная промышленность,Объектовый,Федеральный округ,Средняя,4879,16,658412,48.0,3,3,1803,116,False,True,False,False,True,False,False,True,False,False,0
Платформа мониторинга #55,Государственное управление,Федеральный,Субъект РФ,Средняя,650380,3,935670,72.0,17,31,797084,2187,False,False,True,False,False,True,True,False,False,True,3
ИС мониторинга #56,Государственное управление,Региональный,Федеральный округ,Низкая,288290,16,24233,48.0,12,10,191050,1433,False,False,True,False,False,True,True,True,False,True,3
АСУ ТП аналитики #57,Энергетика,Федеральный,Федеральный округ,Высокая,359866,25,3610953,24.0,7,14,332507,5790,True,True,False,False,True,False,False,False,False,False,2
Сервис передачи #58,Здравоохранение,Региональный,Несколько муниципалитетов,Низкая,86006,3,362890,24.0,7,14,123863,2938,False,False,False,True,False,False,False,False,False,False,2
Платформа мониторинга #59,Транспорт,Муниципальный,Субъект РФ,Низкая,14206,8,17228,72.0,4,12,12376,183,False,True,False,True,False,False,True,True,False,False,2
ИС мониторинга #60,Оборонная промышленность,Объектовый,Один город,Низкая,4562,2,480993,168.0,3,7,6245,587,False,False,False,False,False,False,False,False,False,True,0
АСУ ТП хранения #61,Топливная промышленность,Объектовый,Несколько муниципалитетов,Средняя,2643,3,11390008,48.0,2,4,3015,156,False,True,False,False,True,False,False,True,False,False,0
Портал обработки #62,Энергетика,Муниципальный,Федеральный округ,Средняя,33926,12,1202278,168.0,6,8,29100,2699,False,True,False,False,True,False,False,False,False,False,1
Система мониторинга #63,Здравоохранение,Региональный,Вся страна,Средняя,245214,50,1617095,72.0,14,17,32962,110,False,False,False,True,False,False,False,False,False,False,2
АСУ ТП обработки #64,Топливная промышленность,Региональный,Один город,Средняя,83378,2,1739369,72.0,12,22,40235,3903,True,True,False,False,True,False,False,False,False,False,1
Портал обработки #65,Топливная промышленность,Региональный,Субъект РФ,Средняя,346411,2,728070,72.0,13,30,111871,587,True,True,False,False,True,False,False,False,True,False,2
Сеть передачи #66,Банковская сфера,Объектовый,Федеральный округ,Средняя,2862,23,447890,72.0,3,3,2010,192,False,True,False,False,False,False,False,False,False,True,1
ИС аналитики #67,Транспорт,Региональный,Субъект РФ,Средняя,323484,6,4455261,72.0,10,13,479185,421,False,True,False,True,False,False,True,True,False,False,3
ИС передачи #68,Энергетика,Муниципальный,Вся страна,Низкая,6686,62,108739,168.0,3,5,9818,386,False,True,False,False,True,False,True,False,False,False,1
Сеть обработки #69,Оборонная промышленность,Муниципальный,Вся страна,Критическая,34020,61,118437354,1.0,7,12,26472,1413,True,False,False,True,False,False,False,False,True,True,3
Сервис передачи #70,Топливная промышленность,Объектовый,Федеральный округ,Высокая,1550,22,467065450,24.0,2,7,249,157,True,True,True,False,True,False,False,False,False,True,2
Система мониторинга #71,Связь,Муниципальный,Один город,Средняя,13060,3,12106527,72.0,5,14,12802,1637,False,False,False,False,False,False,False,True,True,False,0
ИС передачи #72,Транспорт,Муниципальный,Несколько муниципалитетов,Средняя,17155,3,2350886,48.0,8,15,19322,261,False,True,False,True,False,False,True,True,False,False,2
Портал мониторинга #73,Государственное управление,Региональный,Один город,Средняя,51607,1,8252596,24.0,1,10,52276,898,True,False,True,False,False,False,True,False,False,False,1
Сервис обработки #74,Связь,Региональный,Федеральный округ,Средняя,228627,18,4549963,24.0,15,7,326483,724,False,False,False,False,False,False,False,False,True,False,1
Система передачи #75,Оборонная промышленность,Региональный,Один город,Критическая,445556,1,195573009,0.5,9,7,156842,279,True,False,True,True,False,True,False,True,False,True,3
АСУ ТП обработки #76,Транспорт,Региональный,Несколько муниципалитетов,Высокая,60468,4,168740646,24.0,9,15,19793,545,True,True,False,True,False,False,True,True,False,False,3
Сервис аналитики #77,Транспорт,Муниципальный,Федеральный округ,Высокая,3028,27,278366261,24.0,6,8,3675,2393,True,True,False,True,False,False,True,True,False,False,3
Сеть управления #78,Транспорт,Объектовый,Вся страна,Низкая,4613,62,215137,24.0,2,3,1165,692,False,True,False,True,False,False,True,True,False,False,2
Сеть управления #79,Государственное управление,Региональный,Субъект РФ,Высокая,104244,7,9654803,4.0,4,20,97476,1667,True,False,True,False,True,True,True,False,False,True,3
Портал управления #80,Связь,Муниципальный,Федеральный округ,Средняя,3642,21,245640,24.0,8,2,3084,1269,False,False,False,False,False,False,True,False,True,False,1
Сервис хранения #81,Топливная промышленность,Муниципальный,Субъект РФ,Критическая,75055,6,32598524,4.0,5,6,39794,1870,True,True,False,True,True,False,False,False,False,False,3
Система мониторинга #82,Топливная промышленность,Муниципальный,Несколько муниципалитетов,Высокая,32869,3,15000460,12.0,6,6,15093,2698,True,True,False,False,True,False,False,False,True,False,1
ИС обработки #83,Государственное управление,Муниципальный,Один город,Низкая,14408,1,56421,24.0,6,5,17184,526,False,False,True,False,False,True,True,False,False,True,2
Сеть управления #84,Связь,Объектовый,Вся страна,Высокая,493,86,23222732,12.0,2,3,489,245,True,False,True,False,False,False,False,False,True,True,2
ИС аналитики #85,Государственное управление,Муниципальный,Субъект РФ,Низкая,9049,3,31285,168.0,8,8,1990,2261,False,False,True,False,False,True,True,False,False,True,2
Система хранения #86,Банковская сфера,Региональный,Федеральный округ,Средняя,86076,12,2560475,48.0,11,26,96655,1383,True,False,False,False,False,False,False,False,False,True,1
АСУ ТП передачи #87,Энергетика,Региональный,Несколько муниципалитетов,Средняя,129133,3,881362,24.0,8,20,56963,2166,True,True,False,False,True,False,False,False,False,False,2
Система аналитики #88,Здравоохранение,Муниципальный,Несколько муниципалитетов,Высокая,16373,2,206568806,4.0,2,12,10736,882,True,False,False,True,False,False,False,False,False,False,3
ИС передачи #89,Энергетика,Федеральный,Федеральный округ,Средняя,930797,19,4505776,168.0,13,24,513371,149,True,True,False,False,True,False,False,False,False,False,2
ИС управления #90,Оборонная промышленность,Региональный,Вся страна,Средняя,271114,52,1746487,72.0,5,13,166612,226,False,False,True,False,False,True,True,False,False,True,3
Сеть передачи #91,Оборонная промышленность,Федеральный,Субъект РФ,Средняя,891941,3,12900614,48.0,3,14,1331500,266,True,False,False,False,True,False,False,False,False,True,2
АСУ ТП передачи #92,Здравоохранение,Объектовый,Вся страна,Высокая,817,78,59770008,24.0,3,5,910,915,True,False,False,True,False,False,False,False,False,False,2
Сеть аналитики #93,Банковская сфера,Федеральный,Федеральный округ,Высокая,571440,15,239640475,8.0,8,23,315949,3982,True,False,False,False,True,False,True,False,False,True,3
Сеть передачи #94,Государственное управление,Федеральный,Несколько муниципалитетов,Низкая,370462,2,49335,168.0,13,29,482856,1527,False,False,True,False,False,True,True,False,False,True,3
Сеть управления #95,Транспорт,Федеральный,Несколько муниципалитетов,Средняя,1216555,3,7964577,168.0,13,22,889140,4406,True,True,False,True,False,False,True,True,True,False,3
АСУ ТП обработки #96,Энергетика,Федеральный,Субъект РФ,Критическая,1609257,5,44659082,4.0,6,12,948793,3536,True,True,False,True,True,True,False,False,False,True,3
ИС аналитики #97,Энергетика,Региональный,Вся страна,Низкая,227791,52,215599,48.0,6,20,125536,375,False,True,False,False,True,False,False,False,False,False,2
Система мониторинга #98,Энергетика,Объектовый,Вся страна,Высокая,1428,74,60654844,8.0,2,4,1915,685,True,True,False,False,True,False,False,False,False,False,1
АСУ ТП мониторинга #99,Банковская сфера,Объектовый,Один город,Низкая,2622,2,315805,72.0,4,7,1250,548,False,True,False,False,True,False,False,False,False,True,1
Портал обработки #100,Банковская сфера,Муниципальный,Субъект РФ,Высокая,35749,7,19794385,24.0,8,12,11586,914,True,True,False,False,False,False,False,True,False,True,2
Платформа управления #101,Банковская сфера,Муниципальный,Субъект РФ,Высокая,21784,9,53702722,8.0,6,11,2514,1683,True,False,False,False,False,False,False,False,False,True,2
Сервис хранения #102,Здравоохранение,Муниципальный,Субъект РФ,Высокая,43450,6,106005314,24.0,5,8,27927,784,True,False,False,True,False,False,True,False,False,False,2
Портал мониторинга #103,Транспорт,Муниципальный,Несколько муниципалитетов,Низкая,30994,2,256553,168.0,4,12,37318,1042,False,True,False,True,False,False,True,True,False,False,2
ИС передачи #104,Энергетика,Муниципальный,Субъект РФ,Средняя,49719,6,10286740,24.0,6,5,39508,345,False,True,False,False,True,False,False,False,False,False,1
Сеть управления #105,Здравоохранение,Региональный,Федеральный округ,Высокая,241603,22,124924295,12.0,9,21,308939,538,True,False,False,True,False,False,True,True,False,False,3
ИС обработки #106,Энергетика,Объектовый,Несколько муниципалитетов,Средняя,654,4,2587145,168.0,3,3,666,1323,True,True,True,False,True,False,False,False,False,False,1
ИС аналитики #107,Топливная промышленность,Объектовый,Несколько муниципалитетов,Высокая,3183,3,76474386,4.0,1,4,1373,814,True,True,False,False,True,False,True,False,False,False,1
ИС передачи #108,Наука,Региональный,Вся страна,Средняя,432508,54,3734585,72.0,6,18,248072,888,False,False,False,False,True,False,False,False,True,False,1
Портал управления #109,Энергетика,Объектовый,Один город,Низкая,2505,1,206758,48.0,4,4,1950,161,False,True,False,False,True,False,False,False,False,False,0
Сеть аналитики #110,Наука,Объектовый,Несколько муниципалитетов,Высокая,4298,3,18934091,12.0,1,4,5677,554,True,False,False,False,True,False,True,False,False,False,1
Портал обработки #111,Топливная промышленность,Муниципальный,Несколько муниципалитетов,Средняя,3746,1,2368667,168.0,4,9,927,1402,False,True,False,False,True,False,False,False,False,False,0
ИС передачи #112,Топливная промышленность,Муниципальный,Один город,Высокая,41766,3,7896309629,24.0,6,13,30349,1141,True,True,False,False,True,False,False,False,False,False,2
Платформа аналитики #113,Энергетика,Муниципальный,Один город,Средняя,58711,1,38842668,48.0,3,6,87114,968,True,True,False,False,True,False,False,False,False,False,1
Платформа обработки #114,Банковская сфера,Муниципальный,Вся страна,Критическая,59009,75,364332589,1.0,6,9,33728,568,True,False,False,False,False,False,False,False,False,True,2
Портал обработки #115,Банковская сфера,Федеральный,Федеральный округ,Высокая,366585,29,95419909,8.0,13,26,355330,1360,True,False,False,False,False,False,False,False,False,True,3
Система аналитики #116,Топливная промышленность,Муниципальный,Вся страна,Низкая,17295,52,572094,168.0,5,11,10455,151,False,True,False,False,True,False,False,False,False,False,1
АСУ ТП обработки #117,Транспорт,Муниципальный,Субъект РФ,Критическая,11197,2,5089459,4.0,1,6,7590,1867,True,True,False,True,True,False,True,True,False,False,2
Портал мониторинга #118,Оборонная промышленность,Региональный,Вся страна,Высокая,359017,68,41640130,4.0,12,27,351669,1619,True,False,False,False,False,True,False,True,False,True,3
Система управления #119,Банковская сфера,Региональный,Субъект РФ,Средняя,201059,4,776285,168.0,5,19,29864,1806,False,False,False,False,True,False,False,False,False,True,1
Сеть управления #120,Здравоохранение,Объектовый,Федеральный округ,Низкая,1899,22,85022,72.0,1,3,1345,882,False,False,False,True,False,False,False,False,False,False,1
Система передачи #121,Здравоохранение,Региональный,Один город,Низкая,94735,4,714314,24.0,10,11,127709,46,True,False,False,True,False,False,False,False,False,False,2
Платформа аналитики #122,Связь,Региональный,Несколько муниципалитетов,Высокая,171848,2,6432382,4.0,12,11,154812,1548,True,False,False,False,False,False,True,False,True,False,2
Сеть обработки #123,Государственное управление,Муниципальный,Один город,Средняя,4785,3,2024970,24.0,4,15,6388,1442,False,False,True,False,False,True,True,False,False,True,2
Платформа аналитики #124,Государственное управление,Муниципальный,Вся страна,Средняя,45461,51,1395522,168.0,4,1,28034,242,False,False,True,False,False,False,True,False,False,True,1
Сеть управления #125,Транспорт,Объектовый,Один город,Критическая,2141,2,129274557,0.5,1,2,249,413,True,True,False,True,False,False,True,True,False,False,3
ИС хранения #126,Банковская сфера,Объектовый,Вся страна,Средняя,2205,77,3723861,24.0,2,8,2297,263,False,False,False,False,False,False,False,False,False,True,1
Платформа мониторинга #127,Топливная промышленность,Федеральный,Несколько муниципалитетов,Средняя,518338,4,5601453,24.0,7,17,163921,158,False,True,False,False,True,False,False,True,False,False,2
АСУ ТП управления #128,Оборонная промышленность,Объектовый,Федеральный округ,Низкая,1929,15,354924,24.0,3,5,559,102,True,False,False,False,True,True,False,False,False,False,1
Сеть хранения #129,Банковская сфера,Региональный,Несколько муниципалитетов,Низкая,181776,1,34903,168.0,4,30,61017,708,False,False,False,False,False,False,False,False,False,True,1
Платформа передачи #130,Связь,Региональный,Один город,Средняя,211458,3,374472,168.0,9,20,189704,1954,True,False,True,False,False,False,False,False,True,False,2
Сеть мониторинга #131,Оборонная промышленность,Муниципальный,Несколько муниципалитетов,Критическая,50888,3,98315318,4.0,5,7,74166,2589,True,False,False,False,False,True,False,False,False,True,2
Сервис обработки #132,Топливная промышленность,Региональный,Вся страна,Низкая,434499,67,156786,168.0,10,18,392326,3963,True,True,False,False,True,False,False,False,False,False,2
Платформа аналитики #133,Связь,Региональный,Один город,Низкая,83371,3,159738,24.0,7,28,83559,2900,False,False,False,False,False,False,False,False,True,False,1
ИС управления #134,Наука,Региональный,Субъект РФ,Средняя,307791,1,5677858,72.0,10,11,362113,2110,False,False,False,False,True,False,False,True,False,False,1
Портал аналитики #135,Связь,Муниципальный,Несколько муниципалитетов,Средняя,46442,1,3389621,168.0,7,7,59394,463,False,True,False,False,False,False,False,False,True,False,1
Платформа аналитики #136,Наука,Региональный,Субъект РФ,Критическая,195320,7,108714970,0.5,4,16,28738,617,True,False,False,True,False,False,False,False,False,False,3
Портал передачи #137,Здравоохранение,Муниципальный,Федеральный округ,Средняя,58960,24,11666731,24.0,11,10,39032,309,False,False,False,True,False,False,False,False,False,False,2
Сеть мониторинга #138,Транспорт,Региональный,Вся страна,Критическая,310824,55,124670384,0.5,9,8,408163,1764,True,True,False,True,False,False,True,True,False,False,3
Портал передачи #139,Связь,Федеральный,Федеральный округ,Критическая,763815,19,35261872,2.0,9,21,890190,5203,True,False,False,True,False,True,False,False,True,True,3
Сервис передачи #140,Топливная промышленность,Региональный,Федеральный округ,Средняя,274038,18,3548532,168.0,8,16,239206,1220,False,True,False,False,True,False,False,False,False,False,2
Система хранения #141,Государственное управление,Муниципальный,Федеральный округ,Высокая,74374,13,17814180,24.0,8,10,56183,1194,True,False,True,False,False,True,True,True,False,True,3
Система хранения #142,Банковская сфера,Объектовый,Федеральный округ,Критическая,565,19,39433577,2.0,1,4,476,617,True,True,False,False,False,False,False,False,False,True,2
Система мониторинга #143,Оборонная промышленность,Федеральный,Субъект РФ,Высокая,510283,5,285936459,8.0,9,25,458698,2333,True,False,False,False,False,True,True,False,False,True,3
Сеть аналитики #144,Здравоохранение,Объектовый,Один город,Высокая,886,4,10430834,4.0,2,8,160,1328,True,False,False,True,False,False,False,False,True,False,2
АСУ ТП управления #145,Государственное управление,Федеральный,Федеральный округ,Низкая,449569,28,225417,168.0,10,28,641244,1299,False,False,True,False,False,True,True,True,False,True,3
Система управления #146,Наука,Федеральный,Федеральный округ,Высокая,1084259,23,142708645,4.0,14,21,1263374,2228,True,True,False,False,False,False,False,False,False,False,3
Система управления #147,Энергетика,Объектовый,Один город,Средняя,1304,4,480340,24.0,3,3,1405,384,False,True,False,False,True,False,False,False,False,False,0
Система аналитики #148,Энергетика,Региональный,Вся страна,Высокая,188748,71,473393845,4.0,8,14,21263,1034,True,True,False,False,True,False,False,False,False,False,3
Система мониторинга #149,Государственное управление,Муниципальный,Субъект РФ,Высокая,15397,3,12435444810,12.0,3,4,17798,2391,True,False,True,False,False,True,True,False,False,True,3
Сеть обработки #150,Транспорт,Муниципальный,Федеральный округ,Низкая,65883,29,32752,168.0,4,12,94795,290,False,True,False,True,False,False,True,True,False,False,2
Платформа хранения #151,Связь,Региональный,Субъект РФ,Высокая,120384,7,545152620,8.0,7,15,46497,732,True,False,False,False,True,False,False,False,True,False,2
ИС обработки #152,Банковская сфера,Региональный,Субъект РФ,Низкая,114313,2,435022,24.0,11,22,35692,3257,False,False,False,False,True,False,True,False,True,True,2
Портал аналитики #153,Банковская сфера,Муниципальный,Один город,Высокая,14538,3,345493925,24.0,4,12,10055,581,True,False,False,False,False,False,False,False,False,True,2
Сервис аналитики #154,Банковская сфера,Муниципальный,Вся страна,Высокая,25454,59,131417119,24.0,6,7,23348,2612,True,True,False,False,False,False,False,False,False,True,2
АСУ ТП управления #155,Связь,Региональный,Вся страна,Средняя,67186,64,2224847,24.0,14,12,9621,185,True,False,False,False,False,False,True,False,True,False,2
Сервис хранения #156,Государственное управление,Муниципальный,Вся страна,Высокая,10875,81,269844716,24.0,4,15,1471,2010,True,False,True,False,False,False,True,False,True,True,3
Сеть обработки #157,Оборонная промышленность,Муниципальный,Вся страна,Средняя,26424,54,7561605,24.0,6,10,27692,1314,False,False,False,False,False,True,False,False,False,False,2
ИС передачи #158,Наука,Федеральный,Вся страна,Критическая,537568,54,92700989,2.0,14,18,377779,4363,True,True,False,True,False,True,False,False,True,True,3
Система управления #159,Здравоохранение,Муниципальный,Субъект РФ,Средняя,38471,4,1028373,48.0,4,11,9401,1116,False,False,False,True,False,False,False,False,True,False,1
Платформа мониторинга #160,Транспорт,Региональный,Федеральный округ,Высокая,223490,20,61619966,12.0,8,16,51155,1868,True,True,False,True,False,False,True,True,False,False,3
ИС аналитики #161,Связь,Региональный,Субъект РФ,Средняя,244367,6,849961,168.0,6,14,233898,613,False,True,False,False,False,False,False,True,True,False,2
АСУ ТП управления #162,Здравоохранение,Объектовый,Вся страна,Средняя,4024,85,976397,24.0,2,5,4190,1416,True,True,False,True,True,False,False,False,False,False,2
Сервис передачи #163,Топливная промышленность,Региональный,Субъект РФ,Средняя,206505,9,14124257,24.0,12,17,24624,713,True,True,False,False,True,False,False,True,False,False,2
Платформа аналитики #164,Энергетика,Муниципальный,Федеральный округ,Высокая,20439,27,153915239,8.0,5,1,10150,1811,True,True,False,False,True,False,False,False,False,False,2
Платформа аналитики #165,Энергетика,Объектовый,Субъект РФ,Средняя,948,1,4707098,168.0,3,4,1254,674,False,True,False,False,True,False,False,False,False,False,0
ИС мониторинга #166,Оборонная промышленность,Объектовый,Федеральный округ,Критическая,1038,16,506951319,0.5,2,4,409,269,True,False,False,True,False,True,False,True,False,True,3
Сервис обработки #167,Здравоохранение,Региональный,Несколько муниципалитетов,Высокая,107902,4,1084541328,4.0,3,6,135954,2730,True,False,False,True,False,False,False,False,False,False,3
Сервис управления #168,Энергетика,Федеральный,Вся страна,Критическая,1224976,88,9032259,1.0,17,20,1639173,1329,True,True,False,True,True,False,False,False,False,False,3
Сеть аналитики #169,Здравоохранение,Региональный,Один город,Высокая,11661,2,588217420,8.0,9,13,6949,322,True,False,False,True,False,False,False,True,False,False,3
Платформа аналитики #170,Наука,Муниципальный,Один город,Средняя,51668,1,5443644,72.0,4,16,59678,391,False,False,False,False,True,False,False,False,False,False,0
Сеть хранения #171,Государственное управление,Федеральный,Федеральный округ,Средняя,236804,26,12127646,72.0,14,17,286500,305,False,False,True,False,False,True,True,False,False,True,3
